data1 data2
29 	47
13	 19
38 	28
39 	29
14 	33
35 	15
28 	44
33 	20
12 	13
35 	38
28 	40
11 	31
36 	24
45	45
41	29
21	29
45	19
32	11
48	35
45	15
47	37
37	14
37	42
36	28
18	12
18	18
41	33
27	41
49	37
39	36
46	14
31	43
44	41
24	29
32	16
17	16
46	35
33	49
17	18
30	33
40	24
26	24
37	40
14	36
10	13
44	24
39	14
27	44
23	12
10	40
37	41
21	12
49	13
44	10
24	20
35	23
43	44
10	20
49	22
27	24
40	21
14	34
27	49
26	35
16	19
17	15
35	40
48	26
16	28
18	19
40	46
41	25
18	49
41	13
21	21
40	11
26	38
22	49
20	15
17	50
50	49
46	25
41	34
25	24
27	29
39	12
41	21
47	47
15	45
50	14
13	40
23	12
13	42
22	39
23	15
25	43
46	13
44	50
49	12
31	27
28	22
14	34
29	37
47	46
30	37
36	35
26	24
17	50
21	42
46	33
22	47
26	42
37	23
48	44
19	47
20	19
15	37
24	24
45	46
14	46
46	45
19	46
28	24
38	45
16	12
32	44
36	20
29	36
45	47
10	24
46	42
35	20
46	23
35	28
40	37
12	19
29	13
32	19
10	35
30	14
13	21
14	20
28	19
49	49
12	42
41	19
29	18
37	47
29	38
35	14
26	19
38	22
24	48
49	20
39	13
14	15
24	37
26	44
34	23
29	16
28	35
21	43
30	20
50	10
40	34
27	42
21	24
26	30
47	12
30	42
32	49
11	12
10	46
16	47
49	19
31	18
34	25
14	36
46	46
30	34
31	34
40	19
48	18
14	40
25	14
24	38
30	21
16	22
39	25
15	31
21	13
19	41
15	34
23	35
13	48
44	23
29	41
34	48
42	20
13	41
41	49
50	10
14	29
38	22
11	36
16	22
13	42
25	48
44	43
18	36
40	37
42	41
23	23
30	34
41	43
19	31
46	36
26	47
41	44
31	13
49	36
26	36
36	25
11	39
14	40
25	34
15	29
31	36
15	18
19	39
12	10
34	14
14	16
12	17
12	23
26	42
47	20
32	20
26	25
36	49
43	27
31	41
36	49
48	31
27	47
26	19
43	41
35	33
40	37
17	43
27	29
43	20
29	45
13	26
35	41
26	12
37	39
41	21
25	40
24	35
38	26
27	15
19	27
46	24
42	46
42	12
34	50
48	37
10	30
36	21
25	14
48	41
45	11
30	40
21	37
17	13
24	37
29	31
48	10
24	14
34	33
13	18
16	47
31	49
13	27
19	17
31	46
43	33
25	38
27	33
42	19
26	21
50	47
11	35
37	48
13	15
31	25
29	30
34	35
39	26
13	13
48	31
47	44
31	31
38	50
17	15
24	36
13	43
30	47
43	15
48	14
40	41
22	10
34	10
17	17
33	46
32	20
25	26
37	32
23	23
31	48
40	12
23	40
25	33
31	19
18	37
27	14
31	45
25	45
19	15
23	34
45	44
40	15
24	10
13	14
44	41
24	30
21	32
18	45
11	38
16	42
41	15
43	47
49	11
26	37
28	35
28	37
47	17
13	30
19	25
10	10
46	36
37	49
21	47
39	43
15	12
10	19
11	28
15	19
50	40
29	17
23	27
43	17
10	42
11	24
28	14
22	33
38	26
35	47
20	47
28	10
29	14
14	33
48	11
28	43
20	24
33	31
15	39
22	37
25	47
26	28
17	45
13	22
23	20
36	20
49	28
39	41
33	44
19	28
14	42
40	27
41	33
31	38
17	31
45	11
43	40
28	30
15	32
31	27
32	27
20	15
10	37
38	43
12	38
24	45
15	49
20	18
24	32
36	29
49	25
18	18
28	49
43	14
25	15
31	29
35	40
19	49
11	34
16	30
49	33
36	36
23	43
28	39
43	16
44	49
46	23
16	37
26	29
43	17
30	15
26	26
19	46
11	47
19	33
38	19
15	43
30	49
33	38
21	29
14	27
21	41
43	40
47	11
20	26
25	18
24	46
25	20
39	20
39	40
40	46
28	42
24	35
11	39
26	18
40	40
12	35
46	15
40	28
28	43
23	20
21	29
36	31
45	40
21	11
25	17
36	37
13	19
21	19
21	45
34	41
14	47
50	18
19	33
41	30
17	48
37	33
37	19
12	34
46	49
37	11
44	13
25	31
25	39
25	38
46	37
14	31
26	33
47	33
35	39
48	10
16	43
42	40
18	23
27	37
46	14
27	19
22	43
13	24
27	19
11	11
